variant,method,offsets,n_layers,final_dir,pooled__best_test_success,pooled__best_test_savings,pooled__best_anchor_route_frac,pooled__best_policy,pooled__best_lambda,pooled__best_anchor_margin,pooled__test_anchor_success,pooled__test_matched_count,pooled__test_matched_success,pooled__test_matched_savings,pooled__test_matched_anchor_route_frac,pooled__test_matched_policy,pooled__test_matched_lambda,pooled__test_matched_anchor_margin,english_transfer__best_test_success,english_transfer__best_test_savings,english_transfer__best_anchor_route_frac,english_transfer__best_policy,english_transfer__best_lambda,english_transfer__best_anchor_margin,english_transfer__test_anchor_success,english_transfer__test_matched_count,english_transfer__test_matched_success,english_transfer__test_matched_savings,english_transfer__test_matched_anchor_route_frac,english_transfer__test_matched_policy,english_transfer__test_matched_lambda,english_transfer__test_matched_anchor_margin
core_mean,mean,"0,4,8,12,20",5,outputs/layer_ensemble_routing_experiment/final/core_mean,0.8680454545454546,10.73012939265382,0.765,raw_anchor,0.0025,0.036,0.8592727272727273,2492,0.8592727272727273,30.15002336181789,0.4411363636363636,raw_anchor,0.1,0.03,0.8610454545454546,8.025793764664268,0.8304545454545454,raw_anchor,0.0,0.018,0.8592727272727273,1057,0.8592727272727273,10.45589952609367,0.7954545454545454,raw_anchor,0.019,0.023
core_median,median,"0,4,8,12,20",5,outputs/layer_ensemble_routing_experiment/final/core_median,0.8671363636363637,11.69028891917656,0.7845454545454545,raw_anchor,0.062,0.075,0.8592727272727273,2392,0.8592727272727273,27.826825300868663,0.4931818181818181,raw_anchor,0.1,0.039,0.8599545454545455,3.645352692091286,0.9338636363636365,raw_anchor,0.013,0.044,0.8592727272727273,294,0.8592727272727273,4.5809874334424405,0.92,raw_anchor,0.028,0.049
all_even_mean,mean,"0,2,4,6,8,10,12,14,16,18,20,22,24",13,outputs/layer_ensemble_routing_experiment/final/all_even_mean,0.8675909090909091,14.354452383004778,0.6822727272727273,raw_anchor,0.0025,0.02,0.8592727272727273,2490,0.8594545454545455,29.82990854435943,0.4975,raw_anchor,0.17,0.075,0.8593181818181819,11.38373206442832,0.8068181818181818,raw_anchor,0.0,0.036,0.8592727272727273,243,0.8594999999999999,12.137727174961732,0.7968181818181819,raw_anchor,0.0075,0.039
all_even_median,median,"0,2,4,6,8,10,12,14,16,18,20,22,24",13,outputs/layer_ensemble_routing_experiment/final/all_even_median,0.867909090909091,11.681699374737242,0.7602272727272728,raw_anchor,0.0025,0.038,0.8592727272727273,2463,0.8592727272727273,28.911891900045276,0.4684090909090909,raw_anchor,0.1,0.034,0.8608181818181818,2.089424941676732,0.9661363636363636,raw_anchor,0.032,0.075,0.8592727272727273,166,0.8594545454545455,6.146011551833686,0.8968181818181818,raw_anchor,0.012,0.047
