model,english_layer,pooled_layer,english_ece,pooled_ece,absolute_delta,relative_reduction,factor_lower
Qwen3-0.6B,19,20,0.25206077686466627,0.0671548640417556,0.1849059128229107,0.7335766997266233,3.7534254660680983
Qwen3-1.7B,18,21,0.1396495512819716,0.06980266680870767,0.06984688447326393,0.5001583165293062,2.0006334666937216
Qwen3-4B,28,28,0.14092399169291772,0.051903679733356786,0.08902031195956094,0.6316902529523988,2.7151059889565117
Qwen3-8B,24,24,0.10204550008688654,0.05279559404034877,0.04924990604653777,0.48262692626920334,1.932841214153188
Qwen3.5-4B,16,30,0.21974254995584488,0.03918160601001647,0.18056094394582842,0.8216931312670686,5.608308906471813
Qwen3.5-9B,15,28,0.0786395569642385,0.04505185062686602,0.03358770633737247,0.42710955699618897,1.7455344424262769
gpt-oss-low,9,17,0.14129788096461976,0.03932312508424123,0.10197475588037852,0.7217005321255487,3.5932515704669914
gpt-oss-high,9,8,0.08981156232811155,0.03224952717622122,0.05756203515189033,0.6409200960294739,2.7848954757492685
